Hotel_Name,Hotel_Rating,Room_type,Room_price,Room_sqft,Facilities,Location
FabExpress Liwa International Andheri East,7.6,,,,"['Free parking', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Shower', 'Flat-screen TV', 'Family rooms', 'Room service', 'Non-smoking rooms', 'Cable channels']","Jijamata Road 3 near Pump house,  Andheri (E), 400093 Mumbai, India"
Royal squad Villa 238,,,,,"['Free parking', 'Pet friendly', 'Swimming pool', 'Private pool', 'Balcony', 'Air conditioning', 'Terrace', 'View', 'Kitchen', 'Free WiFi']","Royal Palms Villa Road, 400065 Mumbai, India"
ibis Mumbai Vikhroli - An Accor Brand,7.7,,,,"['Free parking', 'Pet friendly', 'Restaurant', 'Private Bathroom', 'View', 'Free WiFi', 'Shower', 'Fitness center', 'Minibar', 'Flat-screen TV']","CTS No 17 Lal Bhahdur Shastri Road Vikhroli, 400083 Mumbai, India"
Hotel Kumkum,7.0,,,,[],"165, Lamington Road, 400007 Mumbai, India"
"The Ambassador, Marine Drive, Mumbai",7.5,,,,[],"V.N.Road, Off Marine Drive, Churchgate, Churchgate, 400020 Mumbai, India"
City Guest House - Dadar,6.4,,,,[],"3, West Wing, 1st Floor, Framroz Court building, Dadasaheb Phalke Road, Above Saraswat Bank, Landmark Near Kailash Lassi, Dadar East , Dadar, 400014 Mumbai, India"
"Treebo Trend Freedom Star, Vile Parle",,,,,"['Free WiFi', 'Free parking', 'Air conditioning', 'Private Bathroom', '24-hour front desk', 'Daily housekeeping', 'Elevator']","5 C CTS No 1361 1361 142 Everest Square Shrudhanand Rd, Near Shiv Sagar Hotel, Vile Parle, Mumbai 400057, 400057 Mumbai, India"
FabHotel Axis International,7.5,,,,"['Free WiFi', 'Air conditioning', 'Private Bathroom', '24-hour front desk', 'Daily housekeeping', 'Non-smoking rooms']","Shop no 2, T-Square, Sakivihar Road, Opp. Chandivali Petrol Pump, Andheri East,Mumbai-400072, 400072 Mumbai, India"
Hotel Mogul Palace,6.9,Standard Double Room,$132,,"['Free parking', 'Restaurant', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Shower', 'Flat-screen TV', 'Airport shuttle', 'Room service', '24-hour front desk']","20, Dontad Cross Lane, Off Yusuf Mehar Ali Road, Mumbai, Maharashtra 400009, 400009 Mumbai, India"
Radisson Mumbai Goregaon,7.9,Superior Double Room,$706,240 feet²,"['Free parking', 'Swimming pool', 'Restaurant', 'Spa', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Adults only', 'Bathtub', 'BBQ facilities']","Junction of S.V. Road & Veer Savarkar Road Flyover, Goregaon West, 400062 Mumbai, India"
